ADT1_YEAST,0.58,0.61,0.47,0.13,0.50,0.00,0.48,0.22,0
ADT2_YEAST,0.43,0.67,0.48,0.27,0.50,0.00,0.53,0.22,0
ADT3_YEAST,0.64,0.62,0.49,0.15,0.50,0.00,0.53,0.22,0
AAR2_YEAST,0.58,0.44,0.57,0.13,0.50,0.00,0.54,0.22,1
AATM_YEAST,0.42,0.44,0.48,0.54,0.50,0.00,0.48,0.22,0
AATC_YEAST,0.51,0.40,0.56,0.17,0.50,0.50,0.49,0.22,2
ABC1_YEAST,0.50,0.54,0.48,0.65,0.50,0.00,0.53,0.22,0
BAF1_YEAST,0.48,0.45,0.59,0.20,0.50,0.00,0.58,0.34,1
ABF2_YEAST,0.55,0.50,0.66,0.36,0.50,0.00,0.49,0.22,0
ABP1_YEAST,0.40,0.39,0.60,0.15,0.50,0.00,0.58,0.30,2
ACE1_YEAST,0.43,0.39,0.54,0.21,0.50,0.00,0.53,0.27,1
ACE2_YEAST,0.42,0.37,0.59,0.20,0.50,0.00,0.52,0.29,1
ACH1_YEAST,0.40,0.42,0.57,0.35,0.50,0.00,0.53,0.25,2
ACON_YEAST,0.60,0.40,0.52,0.46,0.50,0.00,0.53,0.22,0
ACR1_YEAST,0.66,0.55,0.45,0.19,0.50,0.00,0.46,0.22,0
ACT_YEAST, 0.46,0.44,0.52,0.11,0.50,0.00,0.50,0.22,2
ACT2_YEAST,0.47,0.39,0.50,0.11,0.50,0.00,0.49,0.40,2
ACT3_YEAST,0.58,0.47,0.54,0.11,0.50,0.00,0.51,0.26,1
ACT5_YEAST,0.50,0.34,0.55,0.21,0.50,0.00,0.49,0.22,1
ADA2_YEAST,0.61,0.60,0.55,0.21,0.50,0.00,0.50,0.25,1
C1TC_YEAST,0.45,0.40,0.50,0.16,0.50,0.00,0.50,0.22,2
PUR4_YEAST,0.43,0.44,0.48,0.22,0.50,0.00,0.51,0.22,2
PUR3_YEAST,0.73,0.63,0.42,0.30,0.50,0.00,0.49,0.22,2
ADH1_YEAST,0.43,0.53,0.52,0.13,0.50,0.00,0.55,0.22,2
ADH2_YEAST,0.46,0.53,0.52,0.15,0.50,0.00,0.58,0.22,2
ADH3_YEAST,0.51,0.51,0.52,0.51,0.50,0.00,0.54,0.22,0
ADH4_YEAST,0.59,0.45,0.53,0.19,0.50,0.00,0.59,0.27,2
KAD1_YEAST,0.57,0.47,0.60,0.18,0.50,0.00,0.51,0.22,2
KAD2_YEAST,0.63,0.67,0.57,0.24,0.50,0.00,0.49,0.22,0
ADP1_YEAST,0.80,0.88,0.36,0.39,0.50,0.00,0.56,0.33,3
ADR1_YEAST,0.53,0.54,0.43,0.10,0.50,0.00,0.57,0.32,1
AFG3_YEAST,0.51,0.51,0.43,0.87,0.50,0.00,0.52,0.22,0
AFR1_YEAST,0.38,0.61,0.61,0.12,0.50,0.00,0.53,0.47,2
RCS1_YEAST,0.33,0.55,0.51,0.43,0.50,0.00,0.51,0.22,1
AGA1_YEAST,0.78,0.74,0.42,0.26,0.50,0.00,0.43,0.22,3
AGA2_YEAST,0.74,0.67,0.47,0.34,0.50,0.00,0.42,0.22,4
YMX1_YEAST,0.72,0.61,0.45,0.30,0.50,0.00,0.54,0.25,0
SYAC_YEAST,0.40,0.45,0.57,0.18,0.50,0.00,0.56,0.26,2
DHA1_YEAST,0.59,0.53,0.43,0.44,0.50,0.00,0.50,0.22,0
DHA2_YEAST,0.57,0.53,0.53,0.34,0.50,0.00,0.53,0.22,0
ALG1_YEAST,0.86,0.68,0.39,0.24,0.50,0.00,0.54,0.22,5
ALG5_YEAST,0.86,0.74,0.51,0.40,0.50,0.00,0.55,0.22,5
GPT_YEAST, 0.79,0.57,0.41,0.28,0.50,0.00,0.59,0.22,5
ALG8_YEAST,0.41,0.54,0.39,0.20,0.50,0.00,0.51,0.22,6
MAN1_YEAST,0.37,0.36,0.56,0.18,0.50,0.00,0.48,0.26,7
ANC1_YEAST,0.53,0.31,0.58,0.39,0.50,0.00,0.47,0.37,1
ANP1_YEAST,0.74,0.75,0.58,0.47,0.50,0.00,0.40,0.35,5
APE2_YEAST,0.49,0.39,0.52,0.29,0.50,0.00,0.48,0.22,4
APE3_YEAST,0.74,0.57,0.51,0.28,0.50,0.00,0.58,0.22,7
ALP1_YEAST,0.42,0.24,0.34,0.16,0.50,0.00,0.50,0.22,6
ADB2_YEAST,0.48,0.39,0.51,0.21,0.50,0.00,0.52,0.28,2
YHB9_YEAST,0.41,0.53,0.45,0.14,0.50,0.00,0.52,0.66,6
APN1_YEAST,0.45,0.46,0.55,0.43,0.50,0.00,0.55,0.38,1
ARD1_YEAST,0.56,0.48,0.58,0.27,0.50,0.00,0.51,0.22,2
ARF1_YEAST,0.64,0.59,0.56,0.23,0.50,0.00,0.46,0.22,2
ARF2_YEAST,0.64,0.56,0.56,0.22,0.50,0.00,0.45,0.22,2
ASSY_YEAST,0.66,0.62,0.49,0.10,0.50,0.00,0.49,0.22,2
OTC_YEAST, 0.53,0.44,0.51,0.33,0.50,0.00,0.55,0.22,2
ARLY_YEAST,0.38,0.49,0.53,0.19,0.50,0.00,0.50,0.22,2
AR56_YEAST,0.45,0.58,0.48,0.67,0.50,0.00,0.52,0.22,0
ARGD_YEAST,0.43,0.35,0.52,0.52,0.50,0.00,0.54,0.22,0
ARG1_YEAST,0.37,0.32,0.47,0.18,0.50,0.00,0.45,0.25,1
ARG2_YEAST,0.48,0.43,0.51,0.32,0.50,0.00,0.52,0.43,1
ARG3_YEAST,0.41,0.46,0.59,0.19,0.50,0.00,0.58,0.27,1
ARO1_YEAST,0.54,0.48,0.44,0.08,0.50,0.00,0.52,0.27,2
AROC_YEAST,0.60,0.47,0.45,0.22,0.50,0.00,0.51,0.29,2
AROF_YEAST,0.34,0.46,0.57,0.09,0.50,0.00,0.55,0.22,2
AROG_YEAST,0.48,0.54,0.55,0.12,0.50,0.00,0.51,0.22,2
CHMU_YEAST,0.47,0.39,0.59,0.15,0.50,0.00,0.57,0.22,2
ASG2_YEAST,0.81,0.85,0.47,0.37,0.50,0.00,0.56,0.22,4
AST1_YEAST,0.48,0.42,0.52,0.24,0.50,0.00,0.56,0.22,2
ATE1_YEAST,0.58,0.51,0.49,0.27,0.50,0.00,0.57,0.29,2
ATM1_YEAST,0.60,0.50,0.44,0.61,0.50,0.00,0.47,0.22,0
ATPA_YEAST,0.45,0.55,0.54,0.66,0.50,0.00,0.47,0.22,0
ATPY_YEAST,0.46,0.49,0.58,0.23,0.50,0.00,0.44,0.22,0
ATPS_YEAST,0.49,0.42,0.56,0.55,0.50,0.00,0.42,0.25,0
ATPT_YEAST,0.63,0.53,0.54,0.40,0.50,0.00,0.50,0.22,0
ATPU_YEAST,0.50,0.54,0.53,0.54,0.50,0.00,0.51,0.27,0
ATPE_YEAST,0.63,0.57,0.59,0.40,0.50,0.00,0.38,0.22,0
ATPB_YEAST,0.43,0.57,0.51,0.49,0.50,0.00,0.48,0.22,0
ATPG_YEAST,0.48,0.45,0.55,0.50,0.50,0.00,0.53,0.22,0
ATPD_YEAST,0.50,0.58,0.46,0.46,0.50,0.00,0.46,0.22,0
ATPO_YEAST,0.51,0.54,0.60,0.57,0.50,0.00,0.58,0.22,0
ATP7_YEAST,0.54,0.52,0.63,0.37,0.50,0.00,0.46,0.22,0
ATP8_YEAST,0.67,0.62,0.40,0.43,0.50,0.83,0.50,0.22,0
ATR1_YEAST,0.28,0.58,0.21,0.13,0.50,0.00,0.51,0.22,6
YBR8_YEAST,0.39,0.44,0.35,0.16,0.50,0.00,0.55,0.22,6
BAR1_YEAST,0.80,0.63,0.45,0.29,0.50,0.00,0.51,0.22,4
BAS1_YEAST,0.50,0.52,0.59,0.30,0.50,0.00,0.51,0.35,1
BCK1_YEAST,0.42,0.47,0.52,0.41,0.50,0.00,0.53,0.32,2
BCK2_YEAST,0.36,0.46,0.62,0.46,0.50,0.00,0.51,0.33,2
BCS1_YEAST,0.46,0.38,0.47,0.22,0.50,0.00,0.52,0.27,0
KAPR_YEAST,0.40,0.45,0.56,0.20,0.50,0.00,0.45,0.22,2
