Computed a variance of 0.210820
=====
Starting experiment.
    learning_rate : 0.1
    |D|           : 5000
    epoch_patience: 100
    results_file  : results.csv
    models_file   : models.csv
=====
            
epoch=0, mse_train=1038553930.428864, mse_validation=399613195.049966
epoch=1, mse_train=968637036.706112, mse_validation=401980537.265867
epoch=2, mse_train=974223341.116191, mse_validation=401242850.510552
epoch=3, mse_train=972570981.706878, mse_validation=400820032.070787
epoch=4, mse_train=971652356.593055, mse_validation=400368100.402441
epoch=5, mse_train=970665549.174317, mse_validation=399921488.736539
epoch=6, mse_train=969690837.678825, mse_validation=399476734.545569
epoch=7, mse_train=968720150.895096, mse_validation=399034171.905129
epoch=8, mse_train=967754269.275162, mse_validation=398593754.625181
epoch=9, mse_train=966793086.650096, mse_validation=398155474.686969
epoch=10, mse_train=965836585.845200, mse_validation=397719320.323363
epoch=11, mse_train=964884740.937632, mse_validation=397285280.217863
epoch=12, mse_train=963937527.047445, mse_validation=396853343.083421
epoch=13, mse_train=962994919.355515, mse_validation=396423497.704116
epoch=14, mse_train=962056893.200759, mse_validation=395995732.930474
epoch=15, mse_train=961123424.069241, mse_validation=395570037.679418
epoch=16, mse_train=960194487.594115, mse_validation=395146400.933781
epoch=17, mse_train=959270059.554493, mse_validation=394724811.741847
epoch=18, mse_train=958350115.874444, mse_validation=394305259.216904
epoch=19, mse_train=957434632.621965, mse_validation=393887732.536800
epoch=20, mse_train=956523586.007970, mse_validation=393472220.943498
epoch=21, mse_train=955616952.385321, mse_validation=393058713.742640
epoch=22, mse_train=954714708.247816, mse_validation=392647200.303109
epoch=23, mse_train=953816830.229212, mse_validation=392237670.056599
epoch=24, mse_train=952923295.102264, mse_validation=391830112.497188
epoch=25, mse_train=952034079.777746, mse_validation=391424517.180913
epoch=26, mse_train=951149161.303518, mse_validation=391020873.725347
epoch=27, mse_train=950268516.863557, mse_validation=390619171.809186
epoch=28, mse_train=949392123.777035, mse_validation=390219401.171830
epoch=29, mse_train=948519959.497375, mse_validation=389821551.612976
epoch=30, mse_train=947652001.611339, mse_validation=389425612.992208
epoch=31, mse_train=946788227.838105, mse_validation=389031575.228597
epoch=32, mse_train=945928616.028365, mse_validation=388639428.300295
epoch=33, mse_train=945073144.163412, mse_validation=388249162.244141
epoch=34, mse_train=944221790.354278, mse_validation=387860767.155266
epoch=35, mse_train=943374532.840808, mse_validation=387474233.186701
epoch=36, mse_train=942531349.990817, mse_validation=387089550.548988
epoch=37, mse_train=941692220.299196, mse_validation=386706709.509800
epoch=38, mse_train=940857122.387069, mse_validation=386325700.393554
epoch=39, mse_train=940026035.000909, mse_validation=385946513.581034
epoch=40, mse_train=939198937.011725, mse_validation=385569139.509014
epoch=41, mse_train=938375807.414190, mse_validation=385193568.669891
epoch=42, mse_train=937556625.325821, mse_validation=384819791.611305
epoch=43, mse_train=936741369.986141, mse_validation=384447798.935781
epoch=44, mse_train=935930020.755870, mse_validation=384077581.300364
epoch=45, mse_train=935122557.116102, mse_validation=383709129.416251
epoch=46, mse_train=934318958.667490, mse_validation=383342434.048440
epoch=47, mse_train=933519205.129462, mse_validation=382977486.015374
epoch=48, mse_train=932723276.339415, mse_validation=382614276.188583
epoch=49, mse_train=931931152.251920, mse_validation=382252795.492341
epoch=50, mse_train=931142812.937946, mse_validation=381893034.903313
epoch=51, mse_train=930358238.584104, mse_validation=381534985.450214
epoch=52, mse_train=929577409.491831, mse_validation=381178638.213467
epoch=53, mse_train=928800306.076678, mse_validation=380823984.324863
epoch=54, mse_train=928026908.867508, mse_validation=380471014.967224
epoch=55, mse_train=927257198.505772, mse_validation=380119721.374072
epoch=56, mse_train=926491155.744760, mse_validation=379770094.829292
epoch=57, mse_train=925728761.448855, mse_validation=379422126.666812
epoch=58, mse_train=924969996.592788, mse_validation=379075808.270270
epoch=59, mse_train=924214842.260952, mse_validation=378731131.072689
epoch=60, mse_train=923463279.646621, mse_validation=378388086.556164
epoch=61, mse_train=922715290.051281, mse_validation=378046666.251537
epoch=62, mse_train=921970854.883899, mse_validation=377706861.738081
epoch=63, mse_train=921229955.660224, mse_validation=377368664.643188
epoch=64, mse_train=920492574.002071, mse_validation=377032066.642057
epoch=65, mse_train=919758691.636656, mse_validation=376697059.457385
epoch=66, mse_train=919028290.395885, mse_validation=376363634.859061
epoch=67, mse_train=918301352.215677, mse_validation=376031784.663859
