=====
Starting experiment.
    learning_rate : 0.1
    |D|           : 5000
    epoch_patience: 100
    results_file  : results.csv
    models_file   : models.csv
=====
            
epoch=0, mse_train=990881197.489640, mse_validation=451788403.924911
epoch=1, mse_train=1059049591.840393, mse_validation=854809334.373159
epoch=2, mse_train=2086342414.881255, mse_validation=208162808.807654
epoch=3, mse_train=523798544.087740, mse_validation=203655507.643004
epoch=4, mse_train=510685941.332911, mse_validation=198526186.720447
epoch=5, mse_train=497922510.868453, mse_validation=193122956.056966
epoch=6, mse_train=484314487.451062, mse_validation=187110343.425907
epoch=7, mse_train=470748450.705632, mse_validation=181901779.588209
epoch=8, mse_train=458232512.303915, mse_validation=176945830.198067
epoch=9, mse_train=446579212.786661, mse_validation=171761807.305637
epoch=10, mse_train=434514483.599001, mse_validation=166180008.356821
epoch=11, mse_train=422064229.807078, mse_validation=160495224.257194
epoch=12, mse_train=407718804.017828, mse_validation=156223052.410982
epoch=13, mse_train=397819719.004015, mse_validation=153095120.148154
epoch=14, mse_train=390013214.812318, mse_validation=155543556.088098
epoch=15, mse_train=394444772.878780, mse_validation=147667165.824953
epoch=16, mse_train=378761768.661738, mse_validation=143036223.136256
epoch=17, mse_train=369428973.879311, mse_validation=134608223.690141
epoch=18, mse_train=349948567.574201, mse_validation=129204482.724913
epoch=19, mse_train=337197466.536216, mse_validation=124855368.251390
epoch=20, mse_train=327220275.112942, mse_validation=121289422.050300
epoch=21, mse_train=318636651.741250, mse_validation=118637968.829918
epoch=22, mse_train=312473435.329075, mse_validation=119301151.229709
epoch=23, mse_train=314336654.135089, mse_validation=133253033.670860
epoch=24, mse_train=340508411.534688, mse_validation=159122739.218546
epoch=25, mse_train=399018342.225443, mse_validation=136748547.095731
epoch=26, mse_train=352520829.003698, mse_validation=125630339.404938
epoch=27, mse_train=325594086.922666, mse_validation=116228320.049078
epoch=28, mse_train=304463135.721387, mse_validation=109565094.194428
epoch=29, mse_train=288814107.011748, mse_validation=106110179.464849
epoch=30, mse_train=280794733.194481, mse_validation=111458626.432691
epoch=31, mse_train=290586103.107122, mse_validation=102396041.592438
epoch=32, mse_train=271676650.538353, mse_validation=104778246.872316
epoch=33, mse_train=275634915.552209, mse_validation=107303167.225250
epoch=34, mse_train=280111410.530350, mse_validation=112596528.168395
epoch=35, mse_train=291509660.021691, mse_validation=118091279.011977
epoch=36, mse_train=302021998.866297, mse_validation=106994721.805289
epoch=37, mse_train=275358626.664038, mse_validation=91112586.962819
epoch=38, mse_train=243256281.742607, mse_validation=97187037.200042
epoch=39, mse_train=253909496.941376, mse_validation=108597091.096230
epoch=40, mse_train=279465210.465509, mse_validation=147528987.501233
epoch=41, mse_train=372709071.599418, mse_validation=121580038.373710
epoch=42, mse_train=311590492.815033, mse_validation=102885842.319108
epoch=43, mse_train=269513815.474321, mse_validation=87262789.394078
epoch=44, mse_train=236027249.936295, mse_validation=80454566.159268
epoch=45, mse_train=218494532.171673, mse_validation=81838104.546417
epoch=46, mse_train=221074625.714905, mse_validation=82584919.500323
epoch=47, mse_train=219371599.629890, mse_validation=84247701.371338
epoch=48, mse_train=221287541.591687, mse_validation=98533074.756754
epoch=49, mse_train=249920929.057127, mse_validation=96306349.342007
epoch=50, mse_train=246232478.218079, mse_validation=91860056.242032
epoch=51, mse_train=232747359.150748, mse_validation=84583398.925024
epoch=52, mse_train=216886903.389499, mse_validation=85217345.808508
epoch=53, mse_train=217472863.485956, mse_validation=75437102.818003
epoch=54, mse_train=198475081.982681, mse_validation=86457975.813136
epoch=55, mse_train=219237306.916521, mse_validation=77606806.163998
epoch=56, mse_train=202339634.267015, mse_validation=77741518.424432
epoch=57, mse_train=215427530.008456, mse_validation=71704425.827703
epoch=58, mse_train=199760483.329666, mse_validation=74288635.217850
epoch=59, mse_train=200583724.047709, mse_validation=76545834.162962
epoch=60, mse_train=202597499.372352, mse_validation=74694217.511425
epoch=61, mse_train=196501291.614773, mse_validation=73983726.963884
